"test_ligand","auroc","aupr","aupr_corrected","pearson","rank"
"APP",0.553891299510457,0.0507244127175028,0.0272563553511403,0.0476512881572648,1
"ICAM1",0.576147826731939,0.0504997672075121,0.0270317098411496,0.10810616396021,2
"SDC2",0.535246068832518,0.0490615135742148,0.0255934562078523,0.0483848191121116,3
"CD9",0.553798583296246,0.0467230410605728,0.0232549836942103,0.0490899497304916,4
"TGFB1",0.591214211541314,0.0440871599416369,0.0206191025752745,0.0853596864897762,5
"BGN",0.585324414033527,0.0417915437403368,0.0183234863739744,0.0444054455030127,6
"HEBP1",0.55984831627355,0.0386414858095484,0.0151734284431859,0.0665595515462478,7
"TIMP1",0.569766633288827,0.0377616367604126,0.0142935793940501,0.0212024891242911,8
"IL1B",0.578454142560449,0.0374302330212149,0.0139621756548524,0.0460601767736999,9
"ALCAM",0.568656356623645,0.0370987916157945,0.0136307342494321,0.0438959792851882,10
"S100A8",0.576407432131729,0.0370199843831336,0.0135519270167712,0.0274754946105939,11
"C1QB",0.564421543539533,0.0367269858819085,0.013258928515546,0.0312965350839249,12
"FGF7",0.560520508826583,0.0363891242675343,0.0129210669011719,0.0196621905791922,13
"CTSD",0.561878801364784,0.0362914007321341,0.0128233433657716,0.0302068585560617,14
"OSM",0.530139723334816,0.0361916170713761,0.0127235597050137,0.0538082187054247,15
"LGALS9",0.57969422192553,0.0359837719951615,0.0125157146287991,0.0349160723811886,16
"LAMA4",0.571396120753599,0.0358632054462043,0.0123951480798419,0.0357070541531933,17
"RARRES2",0.592757936507937,0.0356416552648072,0.0121735978984447,0.0455637625206056,18
"COL4A1",0.536460651238688,0.035600583323213,0.0121325259568506,0.0303473248969996,19
"COL18A1",0.567158989764129,0.0354784410503553,0.0120103836839929,0.0265384259482841,20
"HSPG2",0.559013870345645,0.0353879206398373,0.0119198632734749,0.0258011978975456,21
"SERPING1",0.548782636107402,0.0352921752142509,0.0118241178478884,0.0280575041709325,22
"LGALS3BP",0.560427792612371,0.0351684255352698,0.0117003681689074,0.0252086379415013,23
"ANXA1",0.572932892004151,0.0349388765779948,0.0114708192116324,0.0248522952795905,24
"HLA-C",0.558095979824952,0.0349088193908845,0.0114407620245221,0.0283825444306977,25
"COPA",0.543757417297137,0.0348980323985439,0.0114299750321815,0.0289078210045348,26
"COL5A2",0.550998553627058,0.0348890596819226,0.0114210023155602,0.0330834396215596,27
"ADAM17",0.570904724818277,0.0346819670146206,0.0112139096482581,0.0205305293089416,28
"ENG",0.563835113484646,0.0346655020710663,0.0111974447047038,0.0221180746784631,29
"CD14",0.574701453790238,0.0345248158773581,0.0110567585109957,0.0200688122880474,30
"SPARC",0.547275997626465,0.0345100222262917,0.0110419648599293,0.0208390306915745,31
"A2M",0.551350875241062,0.0343899077546,0.0109218503882376,0.0258944768779685,32
"SERPINF1",0.548105807743658,0.0343747272554398,0.0109066698890774,0.0175954532614233,33
"SPON2",0.590284731493843,0.0343391186766236,0.0108710613102612,0.0467607999193596,34
"THBS2",0.567168261385551,0.0342865065504512,0.0108184491840887,0.0333778156073296,35
"C3",0.562900997626464,0.0339981806128959,0.0105301232465335,0.0202383812548753,36
"COL12A1",0.535899718142709,0.0339792523911997,0.0105111950248373,0.0157187085894984,37
"COL5A1",0.537086485684616,0.0338651945759886,0.0103971372096261,0.0232941470160797,38
"LILRB4",0.576898828067051,0.0338279508219605,0.0103598934555981,0.0366329453280362,39
"COL6A2",0.551721740097909,0.0335188593886156,0.0100508020222532,0.0215236598007083,40
"CLEC11A",0.562282116896603,0.0334400217644659,0.00997196439810343,0.0325798104591322,41
"HBEGF",0.565888777629432,0.0334259223235252,0.00995786495716272,-0.00397275686847459,42
"C1QA",0.554299250852989,0.033317780836991,0.00984972347062857,0.00748287897968737,43
"HLA-A",0.540062676160809,0.0330723718949925,0.00960431452863003,0.0200191574077661,44
"COMP",0.543314697374276,0.033036055513572,0.00956799814720955,0.0144010841794099,45
"RPS19",0.547141559115858,0.0330297379224218,0.00956168055605933,0.0179786532815831,46
"FN1",0.547215732087227,0.0328420032999246,0.0093739459335622,0.0150769950068631,47
"TSPAN3",0.520557502596053,0.0328044539254324,0.00933639655906993,0.0142825175593663,48
"CD99",0.54670811081442,0.0327439091367537,0.00927585177039128,0.0090484025160698,49
"CXCL12",0.547827659101023,0.0327333503765187,0.00926529301015623,0.0103815356931678,50
"LUM",0.546283934134401,0.032726902034838,0.00925884466847555,0.0161917277308415,51
"CD59",0.547674677347575,0.0327032382452583,0.00923518087889583,0.0249755832403043,52
"CLU",0.53566792760718,0.032619290987914,0.00915123362155152,0.0138115124191738,53
"S100A9",0.551939623201304,0.032584393664378,0.00911633629801552,0.0138330413513295,54
"APOE",0.546228304405874,0.0325736763945008,0.00910561902813834,0.00987652858841858,55
"COL4A2",0.546321020620086,0.032533011534072,0.00906495416770956,0.014696588830892,56
"CXCL14",0.552440290758047,0.0323154899080024,0.00884743254163992,0.0223652804954703,57
"VCAM1",0.545787902388369,0.032298316114164,0.00883025874780151,0.015308286972871,58
"LGALS3",0.545528296988577,0.0322037801454463,0.0087357227790838,0.00859494381768898,59
"TFPI",0.54183123794689,0.0321103975135243,0.00864234014716188,0.00926674953581397,60
"PLTP",0.533231809078771,0.0320874956391424,0.00861943827277991,0.00869371092312339,61
"ALOX5AP",0.538231530930128,0.0320439342340247,0.00857587686766221,0.0142681999958043,62
"TGFBI",0.534471888443849,0.0319690149307697,0.00850095756440726,0.0127522483354902,63
"LGALS1",0.540530893042574,0.0319452083572052,0.00847715099084279,0.0263262434222705,64
"VCAN",0.549373701973001,0.0319404214291813,0.00847236406281885,0.0135383370207489,65
"PTPRC",0.534314270879689,0.0318911530774967,0.00842309571113429,0.0162587096821057,66
"B2M",0.541715342679128,0.0318741275002268,0.00840607013386436,0.00731762048248713,67
"CFH",0.547595868565494,0.0317700376362072,0.00830198026984479,0.0205309480366541,68
"ITGB2",0.548217067200712,0.0317173598033135,0.00824930243695103,0.0184439898219627,69
"MMP14",0.533217901646639,0.0316797425527171,0.00821168518635467,0.0120160382940024,70
"HLA-DRB5",0.539728897789647,0.0316167081366879,0.00814865077032547,0.0195647471381465,71
"ANXA2",0.55647344607625,0.0315737852127669,0.00810572784640449,0.0104790637389997,72
"FBN1",0.539698765020026,0.0314241074069814,0.00795605004061899,0.00775388626096401,73
"COL1A2",0.53417751446373,0.0313726894995574,0.00790463213319499,0.0115020430631743,74
"MDK",0.524467808930425,0.0313583283073028,0.00789027094094038,0.00863323688884811,75
"HLA-B",0.526734720367896,0.031311583761587,0.00784352639522454,0.0111614797686817,76
"FBLN1",0.510168650793651,0.0312232257311341,0.00775516836477168,0.0133135812194656,77
"HLA-DRA",0.537054035009642,0.0312153946367756,0.00774733727041315,0.010738801309271,78
"HLA-F",0.546149495623795,0.0311777686165126,0.00770971125015012,0.0148062561662292,79
"CD47",0.513689549028335,0.0311112917233346,0.00764323435697211,0.00176413852166127,80
"TIMP2",0.540720961281709,0.031012944791791,0.00754488742542851,0.0173797519028942,81
"MFGE8",0.545152796321021,0.0309705618770637,0.0075025045107012,0.00853582298029029,82
"HLA-DMA",0.568072244474115,0.0309469476770409,0.00747889031067847,0.0178709471101331,83
"MMP2",0.515863744251595,0.030868136787198,0.0074000794208355,0.00584828588721403,84
"SPP1",0.543590528111556,0.030850557797572,0.00738250043120953,0.0046216634944064,85
"ADAM9",0.531678812490729,0.0307656693977152,0.00729761203135278,0.00653826593841608,86
"GRN",0.535417593828808,0.0306840964691469,0.00721603910278447,-0.000513633303242346,87
"THY1",0.540605066013945,0.0306471957273192,0.00717913836095677,0.0112293656824296,88
"HLA-DQB1",0.539935191366267,0.0304516583392946,0.00698360097293218,0.00525412612206813,89
"HLA-DPB1",0.532084445927903,0.0304193517528096,0.00695129438644718,0.010532021387949,90
"LRPAP1",0.528728118973446,0.0303682351443496,0.00690017777798713,0.007606225221859,91
"CD52",0.533591084408841,0.0302180742978874,0.00675001693152497,0.00835151768042032,92
"ADAM10",0.54066069574247,0.0301732400309498,0.00670518266458738,0.0153379007975698,93
"TNFSF10",0.538746105919004,0.0301552059954406,0.00668714862907811,-0.0159332418462836,94
"GPI",0.530944036493103,0.0301370202118505,0.00666896284548803,0.000275505035399843,95
"COL6A3",0.510773624091381,0.0299413735565452,0.00647331619018272,0.0050242817224355,96
"DCN",0.53599707016763,0.0297761610226708,0.00630810365630836,0.000814878447201465,97
"VEGFA",0.531066885476933,0.0296767852210043,0.00620872785464182,0.00898997507688247,98
"FAM3C",0.527277110221036,0.029657078323347,0.00618902095698456,0.00215301803805487,99
"COL3A1",0.511292834890966,0.0294821471901231,0.0060140898237607,0.0060222116965516,100
"HLA-DMB",0.523350578549177,0.0294165191393304,0.00594846177296792,0.00441083922193495,101
"HLA-DRB1",0.529738725708351,0.0289172908766619,0.00544923351029947,-0.00210145653282349,102
"SERPINE1",0.515731623646342,0.0288349579342908,0.00536690056792838,-0.000509542881986799,103
"COL6A1",0.523967141373684,0.0287793603076086,0.00531130294124617,0.00055214711740939,104
"TNFSF12",0.543660065272214,0.0286537744343733,0.00518571706801084,-0.0123079372520942,105
"MIF",0.543984572021954,0.02864722510199,0.00517916773562753,-0.0119101466711361,106
"GAS6",0.500217883103396,0.028528443015615,0.00506038564925251,0.00838174035047655,107
"TIMP3",0.522761830588933,0.0282036559274858,0.00473559856112334,-0.00265187021985623,108
"HSP90B1",0.510653093012904,0.0279288883167713,0.00446083095040882,-0.00443156004387493,109
"HLA-DQA2",0.523206868417148,0.0278547440885632,0.00438668672220079,-0.00152758992628135,110
"HLA-DQA1",0.507829884290165,0.027715088575166,0.00424703120880358,-0.0101869656737977,111
"INHBA",0.503541759382879,0.0271666620354674,0.00369860466910496,0.0224955552939769,112
"CALR",0.517486278000297,0.0266822015620128,0.00321414419565039,-0.0203076956730199,113
"HMGB1",0.535185803293282,0.0265718556819342,0.00310379831557173,-0.0165227751640988,114
"PSAP",0.466754283489097,0.0256357955791605,0.00216773821279801,-0.0186250485803467,115
"PLAU",0.493094959946595,0.0237404197374683,0.000272362371105884,-0.0283679622511087,116
