model,HR_per_SD,ci_low,ci_high,p,n,events,module,endpoint
unadj,0.8383073079039065,0.6545335458745862,1.0736793353289023,0.162443227616637,181,58,complement_C1Q,OS
adj(Myeloid+Purity),1.1544824647923357,0.8182526712772386,1.6288730954370452,0.4134106020675049,117,38,complement_C1Q,OS
unadj,1.1363097606517523,0.7342361767879115,1.7585620444379346,0.5663024638176275,181,22,complement_C1Q,PFS
adj(Myeloid+Purity),1.487954276743776,0.8581645355103514,2.579934077983565,0.15699802931565024,117,15,complement_C1Q,PFS
unadj,0.846698827619371,0.6626699731868564,1.081833995351212,0.183225831064103,181,58,complement_C1Q_C3,OS
adj(Myeloid+Purity),1.1701485746705915,0.8321898136031977,1.6453550192774862,0.3662064674087304,117,38,complement_C1Q_C3,OS
unadj,1.1601748022115876,0.7453902684894198,1.805772933438562,0.5104188563059316,181,22,complement_C1Q_C3,PFS
adj(Myeloid+Purity),1.521599456405248,0.8738166131961772,2.649600466239882,0.13798950142777977,117,15,complement_C1Q_C3,PFS
unadj,0.7974715771923224,0.6231139412798946,1.0206173771739524,0.07220215928930734,181,58,CLEC_LAM8,OS
adj(Myeloid+Purity),1.023056078336871,0.7302303916471969,1.4333061885593128,0.8945925638818445,117,38,CLEC_LAM8,OS
unadj,0.9731672850477221,0.6413543271245914,1.47664796920155,0.8982686244312197,181,22,CLEC_LAM8,PFS
adj(Myeloid+Purity),1.275493307572515,0.7389589699990468,2.2015879686315647,0.3822633057451247,117,15,CLEC_LAM8,PFS
unadj,0.8170287230764126,0.6397291566276038,1.043466484865026,0.10543265674284256,181,58,RCC_skew_CORE,OS
adj(Myeloid+Purity),1.0757209393028717,0.7669170969149405,1.508866530567118,0.6724454096721804,117,38,RCC_skew_CORE,OS
unadj,1.0286535122242426,0.6680738435169676,1.583848938974956,0.8979205480464204,181,22,RCC_skew_CORE,PFS
adj(Myeloid+Purity),1.3751245171573543,0.7784706962253038,2.4290797930561614,0.272505275508184,117,15,RCC_skew_CORE,PFS
unadj,0.8251224529371952,0.6458433101242326,1.0541675537525221,0.12406885729814705,181,58,APOE_TREM2,OS
adj(Myeloid+Purity),1.0247225662303932,0.7552330668769334,1.390373890915599,0.8753549030360106,117,38,APOE_TREM2,OS
unadj,0.9352823867122673,0.5979618069065525,1.4628913298318709,0.7694031569936729,181,22,APOE_TREM2,PFS
adj(Myeloid+Purity),1.2404754922228842,0.7056371008540782,2.180695211381492,0.45405551052387105,117,15,APOE_TREM2,PFS
unadj,0.7868402531576736,0.6046011678233699,1.0240099042780921,0.07451233059225977,181,58,MERTK_GPNMB,OS
adj(Myeloid+Purity),0.8385210254334425,0.6010891295321436,1.169739187666265,0.29978250670972284,117,38,MERTK_GPNMB,OS
unadj,0.7684892251969402,0.48746798700538846,1.2115168687728928,0.25687209026160346,181,22,MERTK_GPNMB,PFS
adj(Myeloid+Purity),0.8918736045969813,0.49985158559078074,1.5913494115191689,0.6984976347932141,117,15,MERTK_GPNMB,PFS
unadj,0.9259105298440707,0.7341582305704888,1.1677459620795123,0.515583699066317,181,58,panTAM,OS
adj(Myeloid+Purity),1.1584844526494595,0.8379431159060267,1.6016435979420702,0.3733851180385729,117,38,panTAM,OS
unadj,1.0829667662355222,0.703407408694138,1.6673367415164646,0.7173414970793202,181,22,panTAM,PFS
adj(Myeloid+Purity),1.252059847358838,0.7116565055169325,2.202823762890393,0.43547480064953226,117,15,panTAM,PFS
unadj,0.8351839900008609,0.6573640908105048,1.0611049598004774,0.14036962166900066,181,58,Obradovic_TREM2,OS
adj(Myeloid+Purity),1.1138130608775263,0.8009892549716343,1.5488092092137957,0.5216658321031544,117,38,Obradovic_TREM2,OS
unadj,0.9573302127396439,0.6283135624501582,1.458636564600391,0.8391669319615643,181,22,Obradovic_TREM2,PFS
adj(Myeloid+Purity),1.2425536922248024,0.7226991492650535,2.1363518687293226,0.43220799943320143,117,15,Obradovic_TREM2,PFS
logit(OR/SD),0.8279437612567866,0.5772857944881569,1.1874376233557185,0.3047905329153563,181,39,complement_C1Q,responder
logit(OR/SD),0.8756004854912097,0.6132760676345629,1.2501322824312249,0.46466445735103923,124,57,complement_C1Q,benefit
logit(OR/SD),0.8568403531139926,0.5990688584097299,1.2255275506615906,0.39746030081955086,181,39,complement_C1Q_C3,responder
logit(OR/SD),0.8846507757439065,0.6197905302176451,1.2626959543081047,0.4995953607384943,124,57,complement_C1Q_C3,benefit
logit(OR/SD),0.8922574650287887,0.6241461530337584,1.275539999773963,0.5318230122941661,181,39,CLEC_LAM8,responder
logit(OR/SD),0.9588552941736248,0.6724652726524157,1.3672133157722337,0.8164572606333609,124,57,CLEC_LAM8,benefit
logit(OR/SD),0.8698487913433436,0.6090821370870946,1.2422576098193499,0.4431542772855983,181,39,RCC_skew_CORE,responder
logit(OR/SD),0.924772055958624,0.6484231416016094,1.318897029753723,0.6658986191054915,124,57,RCC_skew_CORE,benefit
logit(OR/SD),0.9820042669815768,0.6888492043673151,1.399917970807168,0.920042317695315,181,39,APOE_TREM2,responder
logit(OR/SD),0.9914908441525871,0.6955183318836705,1.4134121977432386,0.9623220653672814,124,57,APOE_TREM2,benefit
logit(OR/SD),1.042419626889478,0.7327189676728781,1.4830224498972269,0.8173375449954845,181,39,MERTK_GPNMB,responder
logit(OR/SD),1.134159580574958,0.7953419624219289,1.6173143314266287,0.48686905197553276,124,57,MERTK_GPNMB,benefit
logit(OR/SD),1.0754264999139993,0.7553476553157568,1.5311388717210062,0.6866449431481368,181,39,panTAM,responder
logit(OR/SD),0.9174542400676685,0.6427073721794002,1.3096508909861881,0.635193197178352,124,57,panTAM,benefit
logit(OR/SD),0.8620772702456976,0.6044208696684283,1.2295690919507194,0.41266871393388327,181,39,Obradovic_TREM2,responder
logit(OR/SD),0.9439101893591243,0.6619853989553004,1.345900448834732,0.7498114901815471,124,57,Obradovic_TREM2,benefit
